POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
5890,Lærdal (ikkje i bruk),5890 LÆRDAL (ikkje i bruk),Historisk,,,1422,Lærdal,Sogn og Fjordane,61.0977,7.48213,6,Usikker plassering,04/10/2018 02:10
5891,Lærdal (ikkje i bruk),5891 LÆRDAL (ikkje i bruk),Historisk,,,1422,Lærdal,Sogn og Fjordane,61.0977,7.48213,6,Usikker plassering,04/10/2018 02:10
5892,Bergen,5892 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.37268,5.34103,1,Koordinatane gjeld postkontoret,11/10/2011 09:57
5893,Bergen,5893 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.388,5.3318,2,Koordinatane er retta av Erik Bolstad,0000-00-00 00:00:00
5895,Bergen,5895 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.31559,5.27039,1,Koordinatane gjeld postkontoret,03/10/2018 20:24
5896,Bergen,5896 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.33445,5.31038,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5899,Bergen,5899 BERGEN,Postboksar,,,1201,Bergen,Hordaland,60.34601,5.352,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5900,Høyanger (ikkje i bruk),5900 HØYANGER (ikkje i bruk),Historisk,,,1416,Høyanger,Sogn og Fjordane,61.22036,6.07494,6,Usikker plassering,03/10/2018 23:39
5901,Høyanger (ikkje i bruk),5901 HØYANGER (ikkje i bruk),Historisk,,,1416,Høyanger,Sogn og Fjordane,61.21932,6.07295,6,Usikker plassering,04/10/2018 02:10
5902,Isdalstø,5902 ISDALSTØ,Postboksar,,,1263,Lindås,Hordaland,60.54615,5.28694,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5903,Isdalstø,5903 ISDALSTØ,Postboksar,,,1263,Lindås,Hordaland,60.5473,5.2861,1,Koordinatane gjeld postkontoret,0000-00-00 00:00:00
5904,Isdalstø,5904 ISDALSTØ,Postboksar,,,1263,Lindås,Hordaland,60.5473,5.2861,1,Koordinatane gjeld postkontoret,0000-00-00 00:00:00
5906,Frekhaug,5906 FREKHAUG,Postboksar,,,1256,Meland,Hordaland,60.51263,5.24339,1,Koordinatane gjeld postkontoret,11/10/2011 09:57
5907,Alversund,5907 ALVERSUND,Postboksar,,,1263,Lindås,Hordaland,60.56145,5.25052,1,Koordinatane gjeld postkontoret,03/10/2018 20:24
5908,Isdalstø,5908 ISDALSTØ,Postboksar,,,1263,Lindås,Hordaland,60.556,5.27064,1,Koordinatane gjeld postkontoret,03/10/2018 20:24
5911,Alversund,5911 ALVERSUND,Gate-/veg-adresse,3202,,1263,Lindås,Hordaland,60.5714,5.2345,5,Koordinatane er retta av ein yr.no-brukar,17/09/2013 14:08
5912,Seim,5912 SEIM,Gate-/veg-adresse,1390,,1263,Lindås,Hordaland,60.6155,5.272,2,Koordinatane er retta av Erik Bolstad,28/10/2018 11:34
5913,Eikangervåg,5913 EIKANGERVÅG,Gate-/veg-adresse,1059,,1263,Lindås,Hordaland,60.6053,5.3981,2,Koordinatane er retta av Erik Bolstad,19/09/2013 00:49
5914,Isdalstø,5914 ISDALSTØ,Gate-/veg-adresse,2194,,1263,Lindås,Hordaland,60.548,5.2937,2,Koordinatane er retta av Erik Bolstad,22/10/2018 23:18
5915,Hjelmås,5915 HJELMÅS,Gate-/veg-adresse,1113,,1263,Lindås,Hordaland,60.5931,5.3641,2,Koordinatane er retta av Erik Bolstad,20/09/2013 00:25
5916,Isdalstø,5916 ISDALSTØ,Gate-/veg-adresse,619,,1263,Lindås,Hordaland,60.5563,5.2716,2,Koordinatane er retta av Erik Bolstad,22/10/2018 23:14
5917,Rossland,5917 ROSSLAND,Gate-/veg-adresse,1054,,1256,Meland,Hordaland,60.5613,5.0527,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:46
5918,Frekhaug,5918 FREKHAUG,Gate-/veg-adresse,5756,,1256,Meland,Hordaland,60.5176,5.2396,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5919,FREKHAUG,5919 FREKHAUG,Gate-/veg-adresse,,,1256,Meland,Hordaland,60.5509,5.1897,2,Koordinatane er retta av Erik Bolstad,22/10/2018 21:13
